=== script_protocol=backtest_postmortem cmd=['python3', 'investment/scripts/backtest_postmortem.py'] started=2026-06-11T16:21:09 ===
Scanning 130 ticker-report files...
  2026-05-02 GOOGL: STAGED_ENTRY score=None ret10d=3.5720815241764514
  2026-05-02 NVDA: BUY score=None ret10d=12.011291873164765
  2026-05-02 TEAM: BUY score=None ret10d=-3.998503603570258
  2026-05-02 VRT: HOLD score=None ret10d=2.6467685087215864
  2026-05-03 CRWV: HOLD score=None ret10d=-17.26859890728677
  2026-05-03 LLY: STAGED_ENTRY score=None ret10d=2.082798790432805
  2026-05-03 QCOM: HOLD score=None ret10d=20.940725433150952
  2026-05-03 TSM: BUY score=None ret10d=-1.4093208214373987
  2026-05-05 TSM: BUY score=None ret10d=-0.45638251916372274
  2026-05-07 ALAB: HOLD score=None ret10d=52.231027666412054
  2026-05-07 AMD: HOLD score=None ret10d=10.069530858161402
  2026-05-07 CRWV: HOLD score=None ret10d=-16.501082824529366
  2026-05-07 TSM: BUY score=None ret10d=-1.6902088864329756
  2026-05-08 CRWV: HOLD score=None ret10d=-7.586512086157149
  2026-05-08 MU: BUY score=None ret10d=0.5610533408904272
  2026-05-08 NEE: HOLD score=None ret10d=-4.887213208309604
  2026-05-10 HPE: HOLD score=None ret10d=23.29122234723
  2026-05-10 MU: HOLD score=None ret10d=12.64254908432687
  2026-05-10 TSM: BUY score=None ret10d=1.923171655451461
  2026-05-11 NVDA: None score=None ret10d=-2.087131689801003
  2026-05-16 MU: BUY score=None ret10d=56.13170318575871
  2026-05-18 MU: BUY score=None ret10d=56.13170318575871
  2026-05-20 D: HOLD score=None ret10d=-1.8160391199916859
  2026-05-20 GOOGL: BUY score=None ret10d=-4.299195459942373
  2026-05-20 MRVL: HOLD score=None ret10d=69.39506825816596
  2026-05-20 MU: BUY score=None ret10d=36.06743443050251
  2026-05-20 TSM: BUY score=None ret10d=10.781340281106399
  2026-05-23 NOK: HOLD score=None ret10d=-15.856615116491957
  2026-05-26 CRWD: HOLD score=None ret10d=-3.9639633089226023
  2026-05-29 MRVL: HOLD score=None ret10d=None
  2026-05-29 MU: HOLD score=None ret10d=None
  2026-05-31 MSFT: BUY score=None ret10d=None
  2026-05-31 TSM: BUY score=None ret10d=None
  2026-06-08 MRVL: HOLD score=None ret10d=None

Wrote /Users/kavi/Documents/Claude/Projects/AI投資委員會/reports/POSTMORTEM_2026-06-11.md

=== ended=2026-06-11T16:21:25 rc=0 ===
